r;b;PC;PQ;F1Star;Precision;Recall;F1;Fraction;Time
1;360;1;0.000339002;0.000677774;0.278120241;0.186635453;0.223350448;0.913034263;49.83
2;180;0.978904395;0.000374077;0.000747868;0.262606292;0.230491465;0.242157999;0.795073773;23.26
3;120;0.926451728;0.00063693;0.001272969;0.250560847;0.192128909;0.214956758;0.446154494;13.35
4;90;0.868327027;0.001323576;0.002642952;0.23747278;0.194337915;0.211005468;0.210270625;7.75
5;72;0.728054712;0.002330589;0.004646136;0.224871826;0.219897029;0.220800869;0.091366286;5.07
6;60;0.579988164;0.004584179;0.009094363;0.207495407;0.158184894;0.179127575;0.039344011;4.05
8;45;0.3394534;0.00944266;0.018371122;0.151008404;0.16421401;0.156815332;0.011238195;3.34
9;40;0.293222438;0.011774575;0.022633984;0.131497955;0.165896503;0.146175297;0.007595939;3.26
10;36;0.239469276;0.013036358;0.024718332;0.11785888;0.205758403;0.147820067;0.00566386;3.12
12;30;0.15496103;0.013875878;0.025452366;0.086166767;0.183974455;0.116784027;0.003309402;3.05
15;24;0.115947218;0.020490553;0.034726727;0.066384059;0.311857968;0.108611408;0.001725863;3.00
18;20;0.081743538;0.021478416;0.033981854;0.04012401;0.396649544;0.071874305;0.001184881;2.97
20;18;0.068531522;0.02313174;0.034570147;0.034533376;0.373778369;0.06275557;0.00095724;2.92
24;15;0.065054991;0.028921992;0.040016347;0.040984259;0.664999922;0.076636542;0.000676036;3.01
30;12;0.046987956;0.029190489;0.035953733;0.019127612;0.472986907;0.036400196;0.00047862;2.93
